extracao_timestamp,linha,id_linha,sentido,prefixo_onibus,timestamp_onibus,latitude,longitude,temperatura,umidade,clima_descricao
20260613_172405,9354-10,33476,2,21406,2026-06-13T20:23:57Z,-23.5118305,-46.653274999999994,20.13,84,nublado
20260613_172405,9354-10,33476,2,21408,2026-06-13T20:23:52Z,-23.4752765,-46.6688805,20.13,84,nublado
20260613_172405,9354-10,33476,2,21404,2026-06-13T20:24:00Z,-23.4809025,-46.656053,20.13,84,nublado
20260613_172405,6258-10,1232,1,78861,2026-06-13T20:23:34Z,-23.6705185,-46.734418000000005,20.13,84,nublado
20260613_172405,6258-10,1232,1,78848,2026-06-13T20:23:58Z,-23.691460499999998,-46.746868500000005,20.13,84,nublado
20260613_172405,4004-10,34946,2,48339,2026-06-13T20:23:58Z,-23.5814275,-46.404887,20.13,84,nublado
20260613_172405,4004-10,34946,2,48160,2026-06-13T20:24:03Z,-23.587823,-46.3916835,20.13,84,nublado
20260613_172405,695Y-10,1198,1,61278,2026-06-13T20:23:33Z,-23.63999525,-46.696571000000006,20.13,84,nublado
20260613_172405,695Y-10,1198,1,61785,2026-06-13T20:24:00Z,-23.724725,-46.6994275,20.13,84,nublado
20260613_172405,695Y-10,1198,1,61769,2026-06-13T20:23:49Z,-23.82240775,-46.735719687499994,20.13,84,nublado
20260613_172405,695Y-10,1198,1,61566,2026-06-13T20:23:24Z,-23.5894045,-46.634211,20.13,84,nublado
20260613_172405,695Y-10,1198,1,61786,2026-06-13T20:23:19Z,-23.672999,-46.686725,20.13,84,nublado
20260613_172405,7021-10,1989,1,73488,2026-06-13T20:24:02Z,-23.671018500000002,-46.7682805,20.13,84,nublado
20260613_172405,7021-10,1989,1,73501,2026-06-13T20:24:00Z,-23.671018500000002,-46.7682805,20.13,84,nublado
20260613_172405,7021-10,1989,1,73502,2026-06-13T20:23:29Z,-23.6601135,-46.736193,20.13,84,nublado
20260613_172405,5145-10,34409,2,52023,2026-06-13T20:23:51Z,-23.567095000000002,-46.617407,20.13,84,nublado
20260613_172405,5145-10,34409,2,52075,2026-06-13T20:23:25Z,-23.5904735,-46.505801125,20.13,84,nublado
20260613_172405,5145-10,34409,2,52072,2026-06-13T20:23:27Z,-23.6139405,-46.501206499999995,20.13,84,nublado
20260613_172405,7055-10,1888,1,78793,2026-06-13T20:23:48Z,-23.666743,-46.772214000000005,20.13,84,nublado
20260613_172405,7055-10,1888,1,78732,2026-06-13T20:23:32Z,-23.652286250000003,-46.778394750000004,20.13,84,nublado
20260613_172405,7055-10,1888,1,78364,2026-06-13T20:23:52Z,-23.686546999999997,-46.790687,20.13,84,nublado
20260613_172405,7055-10,1888,1,78362,2026-06-13T20:23:57Z,-23.634623,-46.775131,20.13,84,nublado
20260613_172405,1720-10,33631,2,26290,2026-06-13T20:23:22Z,-23.4620885,-46.615971,20.13,84,nublado
20260613_172405,1720-10,33631,2,26419,2026-06-13T20:23:25Z,-23.481730499999998,-46.5923325,20.13,84,nublado
20260613_172405,1720-10,33631,2,26048,2026-06-13T20:23:31Z,-23.4640765,-46.616637999999995,20.13,84,nublado
20260613_172405,1720-10,33631,2,26263,2026-06-13T20:23:50Z,-23.4819885,-46.566306999999995,20.13,84,nublado
20260613_172405,1720-10,33631,2,26357,2026-06-13T20:23:33Z,-23.48191425,-46.591546875000006,20.13,84,nublado
20260613_172405,1720-10,33631,2,26333,2026-06-13T20:23:23Z,-23.447785,-46.6093935,20.13,84,nublado
